楽曲レベル,TOTAL値,COMPLEX,POWER,RHYTHM,SCRATCH,HOLDING,GIMMICK,フルタイトル
0,555,37.37,124.59,36.52,14.93,0.00,0.00,SHINKA -DEPROGRAM- [5KEYS]
0,333,23.53,41.42,14.73,15.77,16.78,0.00,SHINKA -DEPROGRAM- [7KEYS EASY / GdbG BMS Package]
0,400,91.72,120.70,59.72,35.11,0.00,0.00,SHINKA -DEPROGRAM- [7KEYS]
1,320,1.85,4.38,2.25,3.29,4.15,0.00,2anyFirst [7-tutorial]
1,170,8.69,3.58,3.71,2.94,0.00,0.00,alicemourn [BEGINNER]
1,250,15.01,17.83,6.69,3.49,0.00,0.00,Aurora [EASY7]
1,310,15.74,7.08,8.61,5.32,0.00,13.98,Cat's rule [5K Beginner]
1,220,1.33,2.78,1.36,3.09,0.00,0.00,Fine Logic [7key BEGINNER / GdbG BMS Package]
1,320,5.59,7.86,2.31,2.91,2.89,0.00,New York Back Raise [SP BEGINNER]
1,320,5.59,7.86,2.31,2.91,2.89,0.00,New York Back Raise [SP BEGINNER]
1,260,7.71,16.41,5.32,6.37,0.00,0.00,On And On!!
1,224,4.75,3.34,2.55,3.63,0.00,0.00,Prominence (BMS Edit) [SP BEGINNER / GdbG BMS Package]
1,230,8.98,3.46,2.88,3.60,2.62,0.00,Psalms ～魂の還るばしょ～ [SP BEGINNER]
1,260,2.26,3.64,2.00,3.22,0.00,0.00,R.I.P.
1,260,2.43,2.94,1.03,2.89,0.00,18.22,Sense [SP BEGINNER]
1,220,2.06,3.33,0.96,2.92,0.00,0.00,Song [SP BEGINNER]
1,220,2.06,3.33,0.96,2.92,0.00,0.00,Song [SP BEGINNER]
1,224,2.06,2.60,0.86,2.88,0.00,0.00,Twin☆kle Snowglobe [SP BEGINNER]
1,250,6.26,2.56,1.96,3.23,0.00,0.00,Unleashed World [BEGINNER]
1,160,0.00,0.00,0.00,0.00,0.00,0.00,Unleashed World [default]
1,240,10.86,8.13,1.49,3.98,0.00,0.00,Vis10ns [BEGINNER]
1,224,3.42,2.68,2.22,3.17,0.00,0.00,ふたりの-><-シグナル [SP BEGINNER]
1,224,3.42,2.68,2.22,3.17,0.00,0.00,ふたりの-><-シグナル [SP BEGINNER]
1,300,7.56,8.48,4.87,4.36,10.01,0.00,スピカ [SP BEGINNER]
1,238,8.96,4.92,3.70,5.37,3.79,0.00,田中 [BIGINNER]
2,260,3.10,3.05,1.95,3.02,2.66,0.00,A Gleam for the Sightless [SP BEGINNER]
2,174,10.34,5.88,5.83,3.99,0.00,0.00,Agilion[BEGINNER]
2,200,10.69,7.87,13.25,22.40,32.17,12.72,Bit by Bit [7beginner / GdbG BMS Package]
2,300,7.14,8.57,6.38,3.72,0.00,0.00,breathe [SP BEGINNER]
2,260,8.75,7.66,3.16,3.35,0.00,0.00,Creamy Sugary OVERDRIVE!!! [BEGINNER]
2,160,12.99,3.44,3.11,3.07,0.00,0.00,data lake [5k Beginner]
2,160,13.53,3.93,3.14,3.14,0.00,0.00,data lake [7k Beginner]
2,280,15.64,19.83,15.77,4.38,0.00,0.00,Electric Emotion
2,283,8.76,9.36,7.75,3.49,0.00,0.00,Elixir [EASY7]
2,280,8.84,5.95,7.19,4.21,0.00,0.00,Eternal calm [EASY7]
2,240,8.18,6.63,5.58,3.66,0.00,0.00,Fall Apart [SP BEGINNER]
2,200,1.78,4.18,0.87,3.34,76.20,0.00,Fever Dream [7-B]
2,260,7.87,4.35,4.71,3.43,0.00,0.00,Grievous Fate[BEGINNER]
2,260,9.01,7.45,3.65,4.12,0.00,23.94,Head BONK ache [SP BEGINNER]
2,230,7.63,12.92,2.69,6.41,0.00,0.00,Inside Out [SP BEGINNER]
2,244,9.46,12.26,4.31,8.23,0.00,0.00,JKillMe[SP BEGINNER]
2,335,8.50,3.82,3.37,0.00,0.00,0.00,Kunzite [5K BEGINNER]
2,280,7.96,3.68,3.49,3.06,4.04,0.00,MARENOL[BEGINNER]
2,259,12.05,11.78,8.36,4.24,3.28,11.05,MOBILYS [BEGINNER]
2,240,8.59,3.86,3.21,2.92,0.00,0.00,PhonDrome![BEGINNER]
2,240,11.30,12.69,9.17,5.09,0.00,0.00,reflection [7KEYS BEGINNER]
2,232,7.16,9.77,3.34,2.89,0.00,0.00,Roject-HAB
2,251,12.50,12.06,9.26,3.21,0.00,0.00,scorching:cyclone [SP BEGINNER]
2,247,17.22,11.76,4.69,12.26,0.00,0.00,Shake U
2,244,13.81,6.63,4.46,2.87,0.00,0.00,The Last Page [SP BEGINNER]
2,246,11.11,8.39,7.34,3.42,0.00,0.00,Trane [SP BEGINNER]
